Commodity,Regulation,Geographical area ID,Measure type,AV,Specific 1,Ceiling,Minimum,Specific 2,Validity start date,Validity end date,Exclusions,Category
7210200000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7210300000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7210908000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7212200000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7212502000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7212503000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7212504000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7212509000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7225910000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7226991000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7210410080,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7210490080,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7210610080,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7210690080,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7212300080,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7212506180,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7212506980,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7225920080,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7225990025,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7225990095,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7226993090,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7226997019,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1
7226997096,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE,VN",1